about,address,firstTag,image,latitude,longitude,name,overallrate,rate,secondTag,duration(hour),open,close,price
,"Al Haram,, ,Giza, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/85/79/c8/the-pyramid-of-khafre.jpg,29.975899,31.130728,Khafre's Pyramid,"1,500 reviews",4.5,,1,9,17,15
,"Near the Roman Fortress,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/45/3a/0a/exterior-of-the-orthodox.jpg,30.07151,31.25893,Church of St. Barbara,27 reviews,4.5,,1,9,17,15
,"Passage Inside Salah Al Din,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/1a/bf/52/7f/caption.jpg,30.02934,31.26055,Madrassa of Al-Nasir Muhammad,2 reviews,4,,1,9,17,15
,"Al-Haram,, ,Giza, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/01/89/3b/fa/sphinx-von-gizeh.jpg,29.97527,31.137568,Great Sphinx,"3,953 reviews",4.5,,1,9,17,15
,"South of the Step Pyramid, | ,Saqqara,, ,Saqqara 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/f2/50/81/ruined-pyramid-of-unas.jpg,30.00186,31.16848,Pyramid of Unas,58 reviews,4.5,,0.5,9,17,16
,"Coptic Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/13/31/76/50/20180606-090300-001-largejpg.jpg,30.00574,31.229845,Fort of Babylon,49 reviews,4,,2.5,9,17,18
,"Darb el Ahmar,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0e/ab/60/5a/bab-zuweila.jpg,30.042797,31.257696,Bab Zuweila,33 reviews,4.5,,1,9,17,33
,"Giza, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/85/73/8f/the-great-pyramid-of.jpg,29.979586,31.134918,Great Pyramid of Cheops (Khufu),"7,114 reviews",4.5,,1.5,9,17,7
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/01/01/d1/98/al-hakim-mosque-open.jpg,30.054686,31.263418,Al-Hakim Mosque,59 reviews,4,,1,9,17,5
,"Midan Silah ad-Din,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0f/41/34/48/20170509-085656-largejpg.jpg,30.031406,31.252588,Islamic Cairo,769 reviews,4.5,,5,9,17,15
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/11/1b/f9/20/photo6jpg.jpg,30.033144,31.257345,Al Rifai Mosque,157 reviews,4.5,,1,9,17,70
,"Mohammed Abdou, | ,El-Darb El-Ahmar,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/15/8c/25/4b/view-from-court-yard.jpg,30.04569,31.262688,Al-Azhar Mosque,349 reviews,4.5,,2,9,17,15
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/11/2a/80/2c/aaaa.jpg,30.006334,31.230333,Coptic Cairo,"1,977 reviews",4.5,,4,9,17,17
,"Al Moez Ldin Allah Al Fatmi,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/13/ea/88/sharia-al-mu-izz-li-din.jpg,30.049896,31.2613,Sharia Al Mu'izz Li-Din Allah,252 reviews,4.5,,2.5,9,17,75
,"El-Orouba Street, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0b/6f/69/3f/img-20160529-wa0011-largejpg.jpg,30.09111,31.33425,Baron Palace,76 reviews,4,,1.5,9,17,60
,"Cairo 11655, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/07/15/11/65/memphis-and-sakkara.jpg,29.869133,31.217186,Memphis and Sakkara,848 reviews,4.5,,2,9,17,34
